date,Open Price,High Price,Low Price,Close Price,Adj Close Price
2/26/2021,432.33000000000004,435.4,432.47,434.95000000000005,66751.91
2/27/2021,435.27,407.43,418.78999999999996,426.08000000000004,62223.3
2/28/2021,418.5,398.06,397.76,393.51,64882.07
3/1/2021,405.8,432.92,426.46000000000004,403.97,55843.0
3/2/2021,403.03,408.09000000000003,403.86,431.59000000000003,63869.01
3/3/2021,426.65999999999997,408.65999999999997,420.65999999999997,424.15999999999997,65105.72
3/4/2021,410.93,425.44,385.68,406.14,49433.17
3/5/2021,405.92,389.74,405.81,410.26,47436.88
3/6/2021,414.76,395.6,424.97,410.9,63587.04
3/7/2021,424.73,393.19,386.12,410.39,50460.450000000004
3/8/2021,396.14,398.92,412.52,401.35,50728.65
3/9/2021,428.98,429.61,420.62,387.95000000000005,60758.64
3/10/2021,400.8,388.65999999999997,426.05,422.70000000000005,60361.26
3/11/2021,410.93,394.12,397.22,431.51,67901.5
3/12/2021,398.58000000000004,429.02,415.43,405.77,57343.29
3/13/2021,387.65999999999997,427.75,400.97,427.68,52775.98
3/14/2021,393.94,414.25,392.40999999999997,400.25,57202.37
3/15/2021,386.31,418.15,408.13,386.48,48820.51
3/16/2021,389.5,395.56,384.06,413.3,49712.72
3/17/2021,403.78999999999996,400.22,396.6,429.3,51788.49
3/18/2021,406.0,400.23,414.68,397.94,64093.79
3/19/2021,398.65999999999997,431.22,398.64,421.4,47109.36
3/20/2021,396.76,413.75,426.28999999999996,391.84000000000003,63912.15
3/21/2021,412.03999999999996,418.18,384.70000000000005,403.01,58275.4
3/22/2021,429.18,394.24,402.26,419.87,57278.770000000004
3/23/2021,413.3,386.64,417.4,426.26,48377.94
3/24/2021,390.3,422.15999999999997,414.09000000000003,415.48,56172.24
3/25/2021,408.09000000000003,425.46000000000004,417.1,408.78,61606.880000000005
3/26/2021,419.78,417.99,404.63,420.24,55408.770000000004
3/27/2021,387.0,413.88,392.47,405.83000000000004,51660.01
3/28/2021,427.31,393.28999999999996,390.02,384.03,64024.01
3/29/2021,383.07,427.31,408.81,425.93,51619.43
3/30/2021,417.09000000000003,401.49,404.34000000000003,416.81,58716.25
3/31/2021,399.20000000000005,427.99,398.94,406.84000000000003,60617.380000000005
4/1/2021,413.8,388.78999999999996,387.72,399.76,56017.24
4/2/2021,404.88,427.57,383.71000000000004,427.58000000000004,50131.56
4/3/2021,393.09000000000003,383.35,390.32,391.31,47212.83
4/4/2021,398.85,426.08000000000004,401.74,381.64,59433.86
4/5/2021,405.46000000000004,388.26,388.0,423.51,65611.94
4/6/2021,396.77,401.34000000000003,390.9,419.26,66950.35
4/7/2021,398.45000000000005,384.14,400.56,397.06,47178.08
4/8/2021,408.94,411.70000000000005,378.46000000000004,409.55,65714.52
4/9/2021,388.81,384.35,394.48,400.44,61643.08
4/10/2021,398.03999999999996,425.33000000000004,383.06,392.99,68023.49
4/11/2021,413.59000000000003,413.68,391.47,407.45000000000005,47037.03
4/12/2021,398.61,399.83000000000004,395.63,385.18,63482.78
4/13/2021,395.19,394.51,418.77,419.45000000000005,66075.99
4/14/2021,404.49,417.42,388.32,380.84000000000003,46343.44
4/15/2021,404.46000000000004,384.82,385.84000000000003,390.93,51847.05
4/16/2021,378.26,408.68,399.24,382.08000000000004,48518.66
4/17/2021,382.13,402.25,377.55,417.02,49278.55
4/18/2021,408.19,423.8,378.69,418.47,64578.11
4/19/2021,389.47,398.43,409.42,409.14,47719.55
4/20/2021,379.19,388.02,385.78,417.13,55371.99
4/21/2021,422.28999999999996,395.70000000000005,402.65999999999997,403.3,60950.15
4/22/2021,382.45000000000005,393.22,417.26,387.35,48234.41
4/23/2021,378.27,389.98,376.37,399.95000000000005,64368.96
4/24/2021,420.74,402.74,397.81,389.47,46411.01
4/25/2021,374.77,412.1,386.36,420.02,58697.87
4/26/2021,413.42,418.53999999999996,386.85,375.12,65612.45000000001
4/27/2021,423.52,376.72,392.48,389.48,54365.4
4/28/2021,418.53,405.13,413.88,417.06,52277.78
4/29/2021,376.85,384.90999999999997,423.02,379.69,66857.0
4/30/2021,378.58000000000004,409.8,378.07,417.03,63859.770000000004
5/1/2021,393.23,384.78,390.59000000000003,401.25,52564.35
5/2/2021,403.24,402.24,375.73,382.58000000000004,67629.95
5/3/2021,383.95000000000005,402.38,420.58000000000004,384.31,60134.86
5/4/2021,420.21000000000004,389.92,419.44,377.11,62123.47
5/5/2021,394.32,394.55,403.70000000000005,410.49,48594.840000000004
5/6/2021,402.18,385.36,398.26,410.33000000000004,51586.0
5/7/2021,400.99,413.20000000000005,408.78999999999996,399.15,50749.07
5/8/2021,414.40999999999997,382.53999999999996,416.75,394.05,63943.92
5/9/2021,381.52,394.55,394.59000000000003,409.98,65163.07
5/10/2021,382.51,402.85,408.61,380.8,47750.79
5/11/2021,396.36,376.99,377.6,403.57,55466.24
5/12/2021,379.09000000000003,389.1,392.19,385.47,57878.090000000004
5/13/2021,371.76,392.01,390.19,387.39,63789.270000000004
5/14/2021,394.39,386.05,392.90999999999997,417.48,62751.31
5/15/2021,393.61,398.95000000000005,419.19,390.81,62995.53
5/16/2021,416.73,375.38,404.21000000000004,400.11,56291.98
5/17/2021,376.01,385.78,413.51,373.31,62621.76
5/18/2021,401.03,390.5,406.64,400.28999999999996,59882.86
5/19/2021,409.34000000000003,407.05,375.44,390.61,68466.36
5/20/2021,415.3,412.85,383.33000000000004,407.57,56099.39
5/21/2021,398.42,412.98,382.61,417.01,63608.78
5/22/2021,374.07,401.70000000000005,409.07,369.45000000000005,56727.92
5/23/2021,390.07,371.83000000000004,385.49,368.90999999999997,49796.69
5/24/2021,408.37,404.82,405.1,411.37,46377.19
5/25/2021,378.72,409.6,391.23,414.86,53835.880000000005
5/26/2021,390.69,416.18,414.01,393.89,52313.54
5/27/2021,374.94,381.74,394.8,394.02,52325.200000000004
5/28/2021,403.40999999999997,370.46000000000004,379.98,386.57,54580.83
5/29/2021,391.01,414.56,393.22,375.71000000000004,62439.85
5/30/2021,408.03,414.15,378.85,415.47,54157.5
5/31/2021,378.08000000000004,405.34000000000003,411.39,383.83000000000004,55517.46
6/1/2021,371.49,399.19,393.22,391.52,54074.18
6/2/2021,388.62,370.51,382.36,392.65999999999997,60529.17
6/3/2021,411.25,407.08000000000004,402.23,384.96000000000004,62998.25
6/4/2021,395.12,393.33000000000004,403.97,409.39,65395.07
6/5/2021,388.19,404.26,402.35,399.02,62346.590000000004
6/6/2021,412.8,388.4,393.78,395.33000000000004,58816.1
6/7/2021,379.62,387.48,383.40999999999997,400.86,65921.34
6/8/2021,371.19,399.96000000000004,409.55,393.57,59209.03
6/9/2021,379.97,392.57,400.15,370.44,57486.73
6/10/2021,386.64,390.65,377.42,395.31,49310.98
6/11/2021,376.78999999999996,405.45000000000005,411.89,373.07,62335.15
6/12/2021,365.52,385.98,395.28999999999996,406.14,57903.4
6/13/2021,379.07,378.02,369.90999999999997,389.15,57721.46
6/14/2021,394.68,381.51,380.47,370.88,52618.42
6/15/2021,399.28,384.89,394.0,407.51,65174.520000000004
6/16/2021,367.76,383.97,386.23,399.22,67770.15
6/17/2021,389.14,394.65999999999997,367.6,395.81,61960.770000000004
6/18/2021,402.92,389.43,394.44,384.74,54094.81
6/19/2021,399.1,390.4,399.1,388.17,50554.23
6/20/2021,369.0,368.56,385.93,385.09000000000003,56283.37
6/21/2021,372.59000000000003,391.81,363.35,390.17,64712.450000000004
6/22/2021,372.08000000000004,372.43,408.78999999999996,409.58000000000004,47954.53
6/23/2021,394.57,382.13,385.5,362.78999999999996,50419.35
6/24/2021,367.31,409.09000000000003,409.4,395.55,65137.270000000004
6/25/2021,372.35,376.6,379.69,364.1,54698.56
6/26/2021,394.58000000000004,405.26,378.88,393.82,49098.86
6/27/2021,403.93,371.05,372.37,406.87,51532.020000000004
6/28/2021,376.35,411.01,381.83000000000004,385.09000000000003,67754.63
6/29/2021,371.83000000000004,401.94,366.77,398.18,57073.590000000004
6/30/2021,386.87,395.22,397.64,365.69,63950.55
7/1/2021,392.33000000000004,400.03,391.45000000000005,369.35,66318.79000000001
7/2/2021,383.02,380.06,372.38,404.06,55182.07
7/3/2021,387.47,386.11,378.31,397.31,54709.43
7/4/2021,382.37,389.65999999999997,375.98,393.71000000000004,53360.98
7/5/2021,394.53,395.15999999999997,398.96000000000004,397.03,46219.6
7/6/2021,374.78999999999996,362.28,405.47,397.93,57499.21
7/7/2021,398.25,409.95000000000005,386.25,378.88,65900.76
7/8/2021,396.85,376.15999999999997,372.61,397.78999999999996,68114.03
7/9/2021,369.12,393.73,404.95000000000005,367.77,51180.05
7/10/2021,379.42,380.73,370.43,386.05,65332.53
7/11/2021,394.27,360.27,407.81,371.35,66236.54000000001
7/12/2021,405.0,367.52,393.24,379.44,64690.23
7/13/2021,374.25,368.65999999999997,384.92,387.89,54544.62
7/14/2021,387.94,378.35,406.72,366.5,63757.83
7/15/2021,382.37,386.76,358.5,402.15,53541.700000000004
7/16/2021,365.92,361.34000000000003,390.59000000000003,396.61,64661.71
7/17/2021,379.01,364.90999999999997,371.15999999999997,386.90999999999997,63227.67
7/18/2021,392.02,399.28,365.38,403.55,55878.86
7/19/2021,402.32,404.65,368.38,358.27,59146.97
7/20/2021,374.68,390.9,396.22,400.36,67532.37
7/21/2021,381.65,369.62,359.53,403.8,48687.67
7/22/2021,361.47,381.51,392.8,387.57,65330.53
7/23/2021,356.40999999999997,384.42,379.69,386.83000000000004,61787.48
7/24/2021,372.55,392.02,385.44,394.77,60307.86
7/25/2021,379.9,374.70000000000005,358.67,402.72,52401.64
7/26/2021,379.93,404.81,395.45000000000005,399.84000000000003,52657.55
7/27/2021,391.09000000000003,378.8,368.11,393.3,50640.770000000004
7/28/2021,399.52,378.86,385.93,370.52,51159.21
7/29/2021,390.28999999999996,395.15,396.02,404.23,46607.25
7/30/2021,400.02,395.27,391.20000000000005,372.76,52715.04
7/31/2021,399.6,387.77,377.87,355.58000000000004,65120.74
8/1/2021,384.70000000000005,357.53999999999996,389.40999999999997,357.64,62022.23
8/2/2021,366.84000000000003,377.26,383.94,391.17,54755.520000000004
8/3/2021,361.49,397.24,355.78999999999996,356.28,59623.35
8/4/2021,374.90999999999997,359.51,389.69,384.69,50924.200000000004
8/5/2021,377.01,373.15,390.90999999999997,356.17,49524.840000000004
8/6/2021,393.0,397.67,357.21000000000004,382.14,56706.450000000004
8/7/2021,358.03999999999996,368.09000000000003,364.76,355.3,57840.55
8/8/2021,400.28999999999996,391.0,402.53,376.71000000000004,48317.79
8/9/2021,388.64,356.98,398.49,400.78999999999996,53532.270000000004
8/10/2021,399.05,363.3,384.06,373.32,63062.64
8/11/2021,398.51,391.32,396.69,364.86,48744.61
8/12/2021,355.4,375.8,369.28,369.99,63939.840000000004
8/13/2021,396.17,365.17,384.3,397.43,55049.16
8/14/2021,372.15,367.44,392.84000000000003,366.65999999999997,46642.770000000004
8/15/2021,370.38,390.99,376.38,356.1,54076.94
8/16/2021,364.18,391.71000000000004,359.01,369.3,50099.200000000004
8/17/2021,358.34000000000003,401.09000000000003,363.27,370.97,50408.78
8/18/2021,355.24,358.73,376.53,355.75,64661.41
8/19/2021,394.28999999999996,381.44,367.83000000000004,388.28999999999996,51941.62
8/20/2021,351.42,367.75,365.94,394.67,58198.590000000004
8/21/2021,379.11,356.84000000000003,356.59000000000003,385.32,58862.24
8/22/2021,373.63,394.15999999999997,374.03999999999996,378.98,66791.92
8/23/2021,359.48,395.37,390.18,389.64,54032.55
8/24/2021,382.9,383.55,385.58000000000004,396.21000000000004,65107.76
8/25/2021,398.62,355.4,364.81,361.53999999999996,47646.32
8/26/2021,371.64,382.09000000000003,386.64,351.69,60112.53
8/27/2021,356.88,382.09000000000003,368.5,365.21000000000004,64793.560000000005
8/28/2021,383.71000000000004,377.34000000000003,362.39,354.93,54353.93
8/29/2021,368.67,395.0,354.1,388.45000000000005,67465.92
